T05,International migrants and refugees,,,,,
5,South America,2015,International migrant stock: Both sexes (number),"6,080,207",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
5,South America,2015,International migrant stock: Both sexes (% total population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
5,South America,2015,International migrant stock: Male (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
5,South America,2015,International migrant stock: Female (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
5,South America,2020,International migrant stock: Both sexes (number),"10,887,474",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
5,South America,2020,International migrant stock: Both sexes (% total population),2.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
5,South America,2020,International migrant stock: Male (% total Population),2.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
5,South America,2020,International migrant stock: Female (% total Population),2.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
142,Asia,2005,International migrant stock: Both sexes (number),"53,249,787",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
142,Asia,2005,International migrant stock: Both sexes (% total population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
142,Asia,2005,International migrant stock: Male (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
142,Asia,2005,International migrant stock: Female (% total Population),1.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
142,Asia,2010,International migrant stock: Both sexes (number),"66,123,640",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
142,Asia,2010,International migrant stock: Both sexes (% total population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
142,Asia,2010,International migrant stock: Male (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
142,Asia,2010,International migrant stock: Female (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
142,Asia,2015,International migrant stock: Both sexes (number),"77,191,249",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
142,Asia,2015,International migrant stock: Both sexes (% total population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
142,Asia,2015,International migrant stock: Male (% total Population),2.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
142,Asia,2015,International migrant stock: Female (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
142,Asia,2015,Total refugees and people in refugee-like situations (number),"8,178,380",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
142,Asia,2015,"Asylum seekers, including pending cases (number)","320,437",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
142,Asia,2015,Other of concern to UNHCR (number),"19,921,907",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
142,Asia,2015,Total population of concern to UNHCR (number),"28,420,724",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
142,Asia,2020,International migrant stock: Both sexes (number),"85,618,502",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
142,Asia,2020,International migrant stock: Both sexes (% total population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
142,Asia,2020,International migrant stock: Male (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
142,Asia,2020,International migrant stock: Female (% total Population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
142,Asia,2020,Total refugees and people in refugee-like situations (number),"9,904,753",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
142,Asia,2020,"Asylum seekers, including pending cases (number)","624,623",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
142,Asia,2020,Other of concern to UNHCR (number),"18,096,139","Exclude 1122390 Stateless persons of Rohingya ethnicity in Bangladesh, India, Indonesia, Malaysia, Myanmar, Nepal, Pakistan, Sri Lanka, and Thailand.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
142,Asia,2020,Total population of concern to UNHCR (number),"28,625,515",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
142,Asia,2021,Total refugees and people in refugee-like situations (number),"9,718,705",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
142,Asia,2021,"Asylum seekers, including pending cases (number)","604,592",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
142,Asia,2021,Other of concern to UNHCR (number),"20,727,373",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
142,Asia,2021,Total population of concern to UNHCR (number),"29,888,385",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
143,Central Asia,2005,International migrant stock: Both sexes (number),"5,235,877",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
143,Central Asia,2005,International migrant stock: Both sexes (% total population),9.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
143,Central Asia,2005,International migrant stock: Male (% total Population),8.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
143,Central Asia,2005,International migrant stock: Female (% total Population),9.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
143,Central Asia,2010,International migrant stock: Both sexes (number),"5,264,938",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
143,Central Asia,2010,International migrant stock: Both sexes (% total population),8.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
143,Central Asia,2010,International migrant stock: Male (% total Population),8.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
143,Central Asia,2010,International migrant stock: Female (% total Population),8.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
143,Central Asia,2015,International migrant stock: Both sexes (number),"5,392,792",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
143,Central Asia,2015,International migrant stock: Both sexes (% total population),7.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
143,Central Asia,2015,International migrant stock: Male (% total Population),7.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
143,Central Asia,2015,International migrant stock: Female (% total Population),8.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
143,Central Asia,2020,International migrant stock: Both sexes (number),"5,564,042",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
143,Central Asia,2020,International migrant stock: Both sexes (% total population),7.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
143,Central Asia,2020,International migrant stock: Male (% total Population),7.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
143,Central Asia,2020,International migrant stock: Female (% total Population),7.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
30,Eastern Asia,2005,International migrant stock: Both sexes (number),"6,228,684",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
30,Eastern Asia,2005,International migrant stock: Both sexes (% total population),0.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
30,Eastern Asia,2005,International migrant stock: Male (% total Population),0.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
30,Eastern Asia,2005,International migrant stock: Female (% total Population),0.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
30,Eastern Asia,2010,International migrant stock: Both sexes (number),"7,062,527",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
30,Eastern Asia,2010,International migrant stock: Both sexes (% total population),0.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
30,Eastern Asia,2010,International migrant stock: Male (% total Population),0.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
30,Eastern Asia,2010,International migrant stock: Female (% total Population),0.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
30,Eastern Asia,2015,International migrant stock: Both sexes (number),"7,866,663",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
30,Eastern Asia,2015,International migrant stock: Both sexes (% total population),0.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
30,Eastern Asia,2015,International migrant stock: Male (% total Population),0.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
30,Eastern Asia,2015,International migrant stock: Female (% total Population),0.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
30,Eastern Asia,2020,International migrant stock: Both sexes (number),"8,975,729",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
30,Eastern Asia,2020,International migrant stock: Both sexes (% total population),0.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
30,Eastern Asia,2020,International migrant stock: Male (% total Population),0.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
30,Eastern Asia,2020,International migrant stock: Female (% total Population),0.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
62,South-central Asia,2005,International migrant stock: Both sexes (number),"18,854,544",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
62,South-central Asia,2005,International migrant stock: Both sexes (% total population),1.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
62,South-central Asia,2005,International migrant stock: Male (% total Population),1.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
62,South-central Asia,2005,International migrant stock: Female (% total Population),1.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
62,South-central Asia,2010,International migrant stock: Both sexes (number),"19,676,783",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
62,South-central Asia,2010,International migrant stock: Both sexes (% total population),1.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
62,South-central Asia,2010,International migrant stock: Male (% total Population),1.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
62,South-central Asia,2010,International migrant stock: Female (% total Population),1.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
62,South-central Asia,2015,International migrant stock: Both sexes (number),"19,266,265",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
62,South-central Asia,2015,International migrant stock: Both sexes (% total population),1.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
62,South-central Asia,2015,International migrant stock: Male (% total Population),1.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
62,South-central Asia,2015,International migrant stock: Female (% total Population),1.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
62,South-central Asia,2020,International migrant stock: Both sexes (number),"19,427,576",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
62,South-central Asia,2020,International migrant stock: Both sexes (% total population),1.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
62,South-central Asia,2020,International migrant stock: Male (% total Population),0.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
62,South-central Asia,2020,International migrant stock: Female (% total Population),1.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
35,South-eastern Asia,2005,International migrant stock: Both sexes (number),"6,750,473",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
35,South-eastern Asia,2005,International migrant stock: Both sexes (% total population),1.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
35,South-eastern Asia,2005,International migrant stock: Male (% total Population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
35,South-eastern Asia,2005,International migrant stock: Female (% total Population),1.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
35,South-eastern Asia,2010,International migrant stock: Both sexes (number),"8,697,936",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
35,South-eastern Asia,2010,International migrant stock: Both sexes (% total population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
35,South-eastern Asia,2010,International migrant stock: Male (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
35,South-eastern Asia,2010,International migrant stock: Female (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
35,South-eastern Asia,2015,International migrant stock: Both sexes (number),"10,161,147",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
35,South-eastern Asia,2015,International migrant stock: Both sexes (% total population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
35,South-eastern Asia,2015,International migrant stock: Male (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
35,South-eastern Asia,2015,International migrant stock: Female (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
35,South-eastern Asia,2020,International migrant stock: Both sexes (number),"10,615,377",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
35,South-eastern Asia,2020,International migrant stock: Both sexes (% total population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
35,South-eastern Asia,2020,International migrant stock: Male (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
35,South-eastern Asia,2020,International migrant stock: Female (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
34,Southern Asia,2005,International migrant stock: Both sexes (number),"13,618,667",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
34,Southern Asia,2005,International migrant stock: Both sexes (% total population),0.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
34,Southern Asia,2005,International migrant stock: Male (% total Population),0.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
34,Southern Asia,2005,International migrant stock: Female (% total Population),0.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
34,Southern Asia,2010,International migrant stock: Both sexes (number),"14,411,845",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
34,Southern Asia,2010,International migrant stock: Both sexes (% total population),0.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
34,Southern Asia,2010,International migrant stock: Male (% total Population),0.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
34,Southern Asia,2010,International migrant stock: Female (% total Population),0.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
34,Southern Asia,2015,International migrant stock: Both sexes (number),"13,873,473",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
34,Southern Asia,2015,International migrant stock: Both sexes (% total population),0.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
34,Southern Asia,2015,International migrant stock: Male (% total Population),0.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
34,Southern Asia,2015,International migrant stock: Female (% total Population),0.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
34,Southern Asia,2020,International migrant stock: Both sexes (number),"13,863,534",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
34,Southern Asia,2020,International migrant stock: Both sexes (% total population),0.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
34,Southern Asia,2020,International migrant stock: Male (% total Population),0.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
34,Southern Asia,2020,International migrant stock: Female (% total Population),0.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
145,Western Asia,2005,International migrant stock: Both sexes (number),"21,416,086",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
145,Western Asia,2005,International migrant stock: Both sexes (% total population),10.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
145,Western Asia,2005,International migrant stock: Male (% total Population),12.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
145,Western Asia,2005,International migrant stock: Female (% total Population),8.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
145,Western Asia,2010,International migrant stock: Both sexes (number),"30,686,394",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
145,Western Asia,2010,International migrant stock: Both sexes (% total population),13.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
145,Western Asia,2010,International migrant stock: Male (% total Population),16.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
145,Western Asia,2010,International migrant stock: Female (% total Population),9.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
145,Western Asia,2015,International migrant stock: Both sexes (number),"39,897,174",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
145,Western Asia,2015,International migrant stock: Both sexes (% total population),15.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
145,Western Asia,2015,International migrant stock: Male (% total Population),19.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
145,Western Asia,2015,International migrant stock: Female (% total Population),11.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
145,Western Asia,2020,International migrant stock: Both sexes (number),"46,599,820",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
145,Western Asia,2020,International migrant stock: Both sexes (% total population),16.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
145,Western Asia,2020,International migrant stock: Male (% total Population),20.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
145,Western Asia,2020,International migrant stock: Female (% total Population),12.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
150,Europe,2005,International migrant stock: Both sexes (number),"63,585,731",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
150,Europe,2005,International migrant stock: Both sexes (% total population),8.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
150,Europe,2005,International migrant stock: Male (% total Population),8.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
150,Europe,2005,International migrant stock: Female (% total Population),8.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
150,Europe,2010,International migrant stock: Both sexes (number),"70,627,160",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
150,Europe,2010,International migrant stock: Both sexes (% total population),9.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
150,Europe,2010,International migrant stock: Male (% total Population),9.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
150,Europe,2010,International migrant stock: Female (% total Population),9.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
150,Europe,2015,International migrant stock: Both sexes (number),"74,759,083",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
150,Europe,2015,International migrant stock: Both sexes (% total population),10.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
150,Europe,2015,International migrant stock: Male (% total Population),10.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
150,Europe,2015,International migrant stock: Female (% total Population),10.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
150,Europe,2015,Total refugees and people in refugee-like situations (number),"1,626,214",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
150,Europe,2015,"Asylum seekers, including pending cases (number)","678,737",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
150,Europe,2015,Other of concern to UNHCR (number),"2,368,815",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
150,Europe,2015,Total population of concern to UNHCR (number),"4,673,766",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
150,Europe,2020,International migrant stock: Both sexes (number),"86,706,068",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
150,Europe,2020,International migrant stock: Both sexes (% total population),11.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
150,Europe,2020,International migrant stock: Male (% total Population),11.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
150,Europe,2020,International migrant stock: Female (% total Population),11.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
150,Europe,2020,Total refugees and people in refugee-like situations (number),"2,961,347",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
150,Europe,2020,"Asylum seekers, including pending cases (number)","839,310",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
150,Europe,2020,Other of concern to UNHCR (number),"3,334,420",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
150,Europe,2020,Total population of concern to UNHCR (number),"7,135,077",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
150,Europe,2021,Total refugees and people in refugee-like situations (number),"3,087,210",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
150,Europe,2021,"Asylum seekers, including pending cases (number)","694,627",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
150,Europe,2021,Other of concern to UNHCR (number),"3,215,849",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
150,Europe,2021,Total population of concern to UNHCR (number),"6,932,632",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
151,Eastern Europe,2005,International migrant stock: Both sexes (number),"19,744,557",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
151,Eastern Europe,2005,International migrant stock: Both sexes (% total population),6.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
151,Eastern Europe,2005,International migrant stock: Male (% total Population),6.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
151,Eastern Europe,2005,International migrant stock: Female (% total Population),6.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
151,Eastern Europe,2010,International migrant stock: Both sexes (number),"19,110,686",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
151,Eastern Europe,2010,International migrant stock: Both sexes (% total population),6.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
151,Eastern Europe,2010,International migrant stock: Male (% total Population),6.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
151,Eastern Europe,2010,International migrant stock: Female (% total Population),6.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
151,Eastern Europe,2015,International migrant stock: Both sexes (number),"19,833,989",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
151,Eastern Europe,2015,International migrant stock: Both sexes (% total population),6.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
151,Eastern Europe,2015,International migrant stock: Male (% total Population),6.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
151,Eastern Europe,2015,International migrant stock: Female (% total Population),6.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
151,Eastern Europe,2020,International migrant stock: Both sexes (number),"20,835,402",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
151,Eastern Europe,2020,International migrant stock: Both sexes (% total population),7.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
151,Eastern Europe,2020,International migrant stock: Male (% total Population),7.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
151,Eastern Europe,2020,International migrant stock: Female (% total Population),7.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
154,Northern Europe,2005,International migrant stock: Both sexes (number),"9,588,814",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
154,Northern Europe,2005,International migrant stock: Both sexes (% total population),10.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
154,Northern Europe,2005,International migrant stock: Male (% total Population),9.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
154,Northern Europe,2005,International migrant stock: Female (% total Population),10.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
154,Northern Europe,2010,International migrant stock: Both sexes (number),"11,294,937",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
154,Northern Europe,2010,International migrant stock: Both sexes (% total population),11.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
154,Northern Europe,2010,International migrant stock: Male (% total Population),11.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
154,Northern Europe,2010,International migrant stock: Female (% total Population),11.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
154,Northern Europe,2015,International migrant stock: Both sexes (number),"13,191,086",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
154,Northern Europe,2015,International migrant stock: Both sexes (% total population),12.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
154,Northern Europe,2015,International migrant stock: Male (% total Population),12.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
154,Northern Europe,2015,International migrant stock: Female (% total Population),13.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
154,Northern Europe,2020,International migrant stock: Both sexes (number),"14,973,861",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
